run_tag,generation,ind_id,origin,parent_a,parent_b,fitness,nodes_in,edges_in,none_removed,comp_removed_nodes,face_collisions_skipped,multi_parent_skipped,unreached_removed,nodes_out,edges_out,raw_graph_path,san_graph_path,video_recorded
20251008_161002,0,0,init,,,-5.767346105189885,30,29,0,0,0,0,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind0.json,False
20251008_161002,0,1,init,,,-5.6153732446660145,30,36,0,0,2,5,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind1.json,False
20251008_161002,0,2,init,,,-5.7922254746409045,30,39,0,0,2,8,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind2.json,False
20251008_161002,0,3,init,,,-5.7922254746409045,30,39,0,0,2,8,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind3.json,False
20251008_161002,0,4,init,,,-5.7922254746409045,30,39,0,0,2,8,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind4.json,False
20251008_161002,0,5,init,,,-5.7922254746409045,30,40,0,0,2,9,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind5.json,False
20251008_161002,0,6,init,,,-5.709416398223583,30,40,0,0,3,9,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind6.json,False
20251008_161002,0,7,init,,,-5.709416398223583,30,40,0,0,3,9,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind7.json,False
20251008_161002,0,8,init,,,-5.775872946557396,30,43,0,0,5,10,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind8.json,False
20251008_161002,0,9,init,,,-5.775872946557396,30,43,0,0,5,10,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind9.json,False
20251008_161002,0,10,init,,,-5.755617553659725,30,43,0,0,4,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind10.json,False
20251008_161002,0,11,init,,,-5.775872946557396,30,43,0,0,5,10,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind11.json,False
20251008_161002,0,12,init,,,-5.775872946557396,30,43,0,0,5,10,1,29,28,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind12.json,False
20251008_161002,0,13,init,,,-5.775872946557396,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind13.json,False
20251008_161002,0,14,init,,,-5.775872946557396,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind14.json,False
20251008_161002,0,15,init,,,-5.755617553659725,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind15.json,False
20251008_161002,0,16,init,,,-5.755617553659725,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind16.json,False
20251008_161002,0,17,init,,,-5.755617553659725,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind17.json,False
20251008_161002,0,18,init,,,-5.755617553659725,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind18.json,False
20251008_161002,0,19,init,,,-5.775872946557396,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_ind19.json,False
20251008_161002,0,1,elite_video,,,-5.755617553659725,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen0_elite_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen0_elite_ind1.json,True
20251008_161002,1,0,elite,1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind0.json,False
20251008_161002,1,1,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind1.json,False
20251008_161002,1,2,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind2.json,False
20251008_161002,1,3,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind3.json,False
20251008_161002,1,4,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind4.json,False
20251008_161002,1,5,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind5.json,False
20251008_161002,1,6,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind6.json,False
20251008_161002,1,7,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind7.json,False
20251008_161002,1,8,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind8.json,False
20251008_161002,1,9,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind9.json,False
20251008_161002,1,10,mut(elite),1,1,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind10.json,False
20251008_161002,1,11,"cx(elite,9)",1,9,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind11.json,False
20251008_161002,1,12,"cx(elite,8)",1,8,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind12.json,False
20251008_161002,1,13,"cx(elite,18)",1,18,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind13.json,False
20251008_161002,1,14,"cx(elite,15)",1,15,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind14.json,False
20251008_161002,1,15,"cx(elite,7)",1,7,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind15.json,False
20251008_161002,1,16,"cx(elite,19)",1,19,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind16.json,False
20251008_161002,1,17,"cx(elite,5)",1,5,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind17.json,False
20251008_161002,1,18,"cx(elite,10)",1,10,-5.771756765667185,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind18.json,False
20251008_161002,1,19,"cx(elite,0)",1,0,-5.779593034509624,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_ind19.json,False
20251008_161002,1,0,elite_video,,,-5.771756765667185,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen1_elite_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen1_elite_ind0.json,True
20251008_161002,2,0,elite,0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind0.json,False
20251008_161002,2,1,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind1.json,False
20251008_161002,2,2,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind2.json,False
20251008_161002,2,3,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind3.json,False
20251008_161002,2,4,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind4.json,False
20251008_161002,2,5,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind5.json,False
20251008_161002,2,6,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind6.json,False
20251008_161002,2,7,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind7.json,False
20251008_161002,2,8,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind8.json,False
20251008_161002,2,9,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind9.json,False
