run_tag,generation,ind_id,origin,parent_a,parent_b,fitness,nodes_in,edges_in,none_removed,comp_removed_nodes,face_collisions_skipped,multi_parent_skipped,unreached_removed,nodes_out,edges_out,raw_graph_path,san_graph_path,video_recorded
20251008_161002,2,10,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind10.json,False
20251008_161002,2,11,"cx(elite,9)",0,9,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind11.json,False
20251008_161002,2,12,"cx(elite,15)",0,15,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind12.json,False
20251008_161002,2,13,"cx(elite,12)",0,12,-5.7828006928538604,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind13.json,False
20251008_161002,2,14,"cx(elite,14)",0,14,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind14.json,False
20251008_161002,2,15,"cx(elite,17)",0,17,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind15.json,False
20251008_161002,2,16,"cx(elite,14)",0,14,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind16.json,False
20251008_161002,2,17,"cx(elite,4)",0,4,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind17.json,False
20251008_161002,2,18,"cx(elite,3)",0,3,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind18.json,False
20251008_161002,2,19,"cx(elite,5)",0,5,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind19.json,False
20251008_161002,2,13,elite_video,,,-5.7828006928538604,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_elite_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_elite_ind13.json,True
20251008_161002,3,0,elite,13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind0.json,False
20251008_161002,3,1,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind1.json,False
20251008_161002,3,2,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind2.json,False
20251008_161002,3,3,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind3.json,False
20251008_161002,3,4,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind4.json,False
20251008_161002,3,5,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind5.json,False
20251008_161002,3,6,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind6.json,False
20251008_161002,3,7,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind7.json,False
20251008_161002,3,8,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind8.json,False
20251008_161002,3,9,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind9.json,False
20251008_161002,3,10,mut(elite),13,13,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind10.json,False
20251008_161002,3,11,"cx(elite,10)",13,10,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind11.json,False
20251008_161002,3,12,"cx(elite,18)",13,18,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind12.json,False
20251008_161002,3,13,"cx(elite,16)",13,16,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind13.json,False
20251008_161002,3,14,"cx(elite,4)",13,4,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind14.json,False
20251008_161002,3,15,"cx(elite,8)",13,8,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind15.json,False
20251008_161002,3,16,"cx(elite,8)",13,8,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind16.json,False
20251008_161002,3,17,"cx(elite,11)",13,11,-5.821879303545791,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind17.json,False
20251008_161002,3,18,"cx(elite,7)",13,7,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind18.json,False
20251008_161002,3,19,"cx(elite,4)",13,4,-5.802666632305436,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_ind19.json,False
20251008_161002,3,0,elite_video,,,-5.802666632305436,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen3_elite_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen3_elite_ind0.json,True
20251008_161002,4,0,elite,0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind0.json,False
20251008_161002,4,1,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind1.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind1.json,False
20251008_161002,4,2,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind2.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind2.json,False
20251008_161002,4,3,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind3.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind3.json,False
20251008_161002,4,4,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind4.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind4.json,False
20251008_161002,4,5,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind5.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind5.json,False
20251008_161002,4,6,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind6.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind6.json,False
20251008_161002,4,7,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind7.json,False
20251008_161002,4,8,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind8.json,False
20251008_161002,4,9,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind9.json,False
20251008_161002,4,10,mut(elite),0,0,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind10.json,False
20251008_161002,4,11,"cx(elite,13)",0,13,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind11.json,False
20251008_161002,4,12,"cx(elite,12)",0,12,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind12.json,False
20251008_161002,4,13,"cx(elite,11)",0,11,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind13.json,False
20251008_161002,4,14,"cx(elite,14)",0,14,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind14.json,False
20251008_161002,4,15,"cx(elite,9)",0,9,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind15.json,False
20251008_161002,4,16,"cx(elite,10)",0,10,-5.746936275905015,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind16.json,False
20251008_161002,4,17,"cx(elite,13)",0,13,-5.746936275905015,30,46,0,0,6,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind17.json,False
20251008_161002,4,18,"cx(elite,3)",0,3,-5.746936275905015,30,46,0,0,6,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind18.json,False
20251008_161002,4,19,"cx(elite,13)",0,13,-5.746936275905015,30,46,0,0,6,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_ind19.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_ind19.json,False
20251008_161002,4,0,elite_video,,,-5.746936275905015,,,,,,,,,,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen4_elite_ind0.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen4_elite_ind0.json,True
